Reporter Identifier	VALUE
A_23_P109547	0.436855216
A_23_P10956	0.255718583
A_23_P109593	2.520516265
A_23_P109606	1.11775771
A_23_P109614	-0.032668885
A_23_P109636	-0.260728115
A_23_P109643	2.905608046
A_23_P109655	-2.98124259
A_23_P10966	-0.437840288
A_23_P109677	0.521162955
A_23_P109682	-0.506255769
A_23_P109733	-1.425198541
A_23_P109768	-0.271702246
A_23_P109774	0.520087427
A_23_P109785	-0.808367487
A_23_P109794	-0.2649288
A_23_P10980	-1.153706788
A_23_P109812	0.45673964
A_23_P109821	-0.06381103
A_23_P109864	0.698743347
A_23_P10987	0.816738408
A_23_P109877	1.736766964
A_23_P109881	1.709425139
A_23_P109895	-1.837312774
A_23_P109907	0.524588703
A_23_P109913	2.053129879
A_23_P109928	-1.100515242
A_23_P109934	0.582281316
A_23_P10995	-1.001482855
A_23_P109950	-1.517959007
A_23_P109974	-1.621799568
A_23_P109988	2.914887776
A_23_P110005	1.043714351
A_23_P110022	-1.385629126
A_23_P110031	0.589945865
A_23_P11005	0.625031261
A_23_P110052	-3.104783198
A_23_P110062	0.894258127
A_23_P110076	0.400652322
A_23_P110090	0.5449297
A_23_P110108	0.044104092
A_23_P110116	2.507496354
A_23_P110122	1.602485952
A_23_P110135	-0.367936211
A_23_P110151	4.432635717
A_23_P110167	-2.122289168
A_23_P11017	0.107165417
A_23_P110175	2.149788855
A_23_P110184	-0.998317409
A_23_P110196	0.998869505
A_23_P1102	-3.282146087
A_23_P110212	1.239798698
A_23_P110234	0.795788174
A_23_P110243	0.276567948
A_23_P11025	0.504977165
A_23_P110253	-1.679385355
A_23_P110266	-0.279220776
A_23_P110276	-0.712553011
A_23_P110288	0.099908118
A_23_P110304	2.06004024
A_23_P110319	0.238284819
A_23_P11032	2.28892971
A_23_P110345	1.458225879
A_23_P110362	0.29405113
A_23_P110386	0.082870323
A_23_P110403	-6.174483253
A_23_P110412	-1.771834895
A_23_P110430	-2.993340361
A_23_P110433	-0.234898499
A_23_P110445	0.430876884
A_23_P110473	2.059854508
A_23_P110492	0.403173727
A_23_P110504	-0.857456446
A_23_P11051	-0.468225385
A_23_P110531	-5.434295105
A_23_P110557	0.6560779
A_23_P110569	-2.337250836
A_23_P110571	0.06915542
A_23_P110585	-2.326461154
A_23_P110598	-0.925331539
A_23_P110606	0.790775012
A_23_P110611	0.423635072
A_23_P110624	-4.442252327
A_23_P110643	-0.204311112
A_23_P110655	0.548184103
A_23_P110661	-1.443270989
A_23_P110686	-2.656743391
A_23_P110699	-2.922775461
A_23_P11070	1.707725701
A_23_P110704	0.287906228
A_23_P11071	-0.028023683
A_23_P110712	3.149892998
A_23_P110725	0.179697242
A_23_P110764	-0.27863543
A_23_P110777	1.511121644
A_23_P110787	-0.085195883
A_23_P110791	4.142016305
A_23_P110802	-1.042762806
A_23_P11081	0.036791631
A_23_P110811	-0.400576489
A_23_P110837	-3.514692044
A_23_P110846	1.604923996
A_23_P110851	-2.316124398
A_23_P110879	1.017666733
A_23_P110882	-0.187764584
A_23_P110896	0.619008431
A_23_P110903	-0.832677379
A_23_P110941	-0.286039486
A_23_P110957	-4.614080229
A_23_P110961	0.169126414
A_23_P111000	2.29712699
A_23_P111005	1.010328046
A_23_P111020	0.595000009
A_23_P11103	0.445934944
A_23_P111037	0.800574891
A_23_P111041	-0.669652796
A_23_P111054	-0.740703084
A_23_P111088	0.214168333
A_23_P111092	0.574400992
A_23_P111112	-0.463435974
A_23_P111126	4.183655372
A_23_P111132	-1.660831862
A_23_P111141	0.06451932
A_23_P111155	0.511212565
A_23_P111171	3.13786208
A_23_P111188	1.058925371
A_23_P11119	0.312464725
A_23_P111194	-0.812800014
A_23_P111206	1.792852249
A_23_P111228	-1.021570982
A_23_P111240	-0.330947936
A_23_P111260	-1.982788757
A_23_P111267	-0.199704231
A_23_P111273	-1.926876624
A_23_P111288	-1.156469315
A_23_P111297	-1.773810164
A_23_P111303	1.146979426
A_23_P111306	1.276298332
A_23_P111311	-0.515079614
A_23_P111321	-0.049368736
A_23_P111343	-0.188957356
A_23_P111360	-0.325845485
A_23_P111361	0.345937961
A_23_P111373	0.262826827
A_23_P111381	-0.020917141
A_23_P111395	0.490338982
A_23_P111413	-0.589829105
A_23_P11144	0.719321803
A_23_P111452	-1.664351619
A_23_P111480	1.199655874
A_23_P111481	-0.323599833
A_23_P111487	0.421789389
A_23_P111492	0.217196128
A_23_P111506	-0.268543986
A_23_P111517	-0.456384422
A_23_P111525	-2.572775463
A_23_P111531	-5.194290207
A_23_P111571	-0.129601386
A_23_P111583	3.328959859
A_23_P111593	-1.22552647
A_23_P11160	-1.418551259
A_23_P111604	-1.749496538
A_23_P111621	-5.292178669
A_23_P111635	0.356056955
A_23_P111657	0.122887025
A_23_P111662	0.223608764
A_23_P111672	1.388256797
A_23_P111698	0.236147305
A_23_P1117	0.825503096
A_23_P111701	-1.754569927
A_23_P111712	0.045662501
A_23_P111724	
A_23_P111737	-1.570361632
A_23_P111745	1.45246895
A_23_P111753	-0.905052881
A_23_P111766	-3.396367856
A_23_P111797	0.913032433
A_23_P111804	2.492638364
A_23_P111811	0.560420334
A_23_P111826	0.286566367
A_23_P111835	-1.684260528
A_23_P111843	-0.289468741
A_23_P111860	-4.685331768
A_23_P111865	0.107239735
A_23_P111888	-5.240666187
A_23_P111919	-0.680985051
A_23_P11192	-0.122369317
A_23_P111929	0.141422924
A_23_P111961	-0.500265973
A_23_P111978	0.421103524
A_23_P111981	-0.664900636
A_23_P111995	-4.765511392
A_23_P112004	-0.401485673
A_23_P11201	0.513003147
A_23_P112016	0.544581296
A_23_P112026	-2.103442043
A_23_P112061	1.248364446
A_23_P112078	0.215114193
A_23_P112103	1.245537105
A_23_P112113	0.34095812
A_23_P112135	0.127584457
A_23_P11214	0.079030616
A_23_P112159	-0.475680928
A_23_P112162	0.213839762
A_23_P112187	0.253983462
A_23_P112201	2.706042079
A_23_P112220	-2.125731932
