Reporter Identifier	VALUE
A_23_P11331	-0.08159256
A_19_P00321293	0.12498236
A_23_P25566	0.329741
A_23_P54846	0.75581074
A_33_P3302577	-0.5187278
A_23_P368195	-0.047643185
A_19_P00332198	0
A_19_P00321356	0.35783195
A_24_P218814	-0.22837734
A_33_P3305388	-0.3822627
A_19_P00805237	-0.3830099
ETG05_66023	0.17874241
A_19_P00320120	-0.84141064
A_33_P3751889	0.2364006
A_23_P133123	0.46677923
A_23_P56529	0.26093864
A_19_P00332466	0.63588333
A_23_P7313	0
A_33_P3351474	-0.7970929
A_23_P15202	0.47511578
A_33_P3232032	-0.27224112
ERCC-00131_64	-0.28237152
A_23_P409888	0.84069395
A_33_P3325653	-0.38299942
A_23_P124486	0.07406902
A_24_P39454	-0.40048647
A_19_P00325559	-0.38694048
A_23_P382240	-0.1996398
A_33_P3241051	-0.31228495
A_33_P3343175	-0.64351845
A_19_P00318675	-1.3075271
A_23_P398491	0.26710415
A_23_P123905	0.18719673
A_19_P00316275	1.213232
A_19_P00326348	0.62282133
A_33_P3355743	-0.6323137
A_33_P3212188	0.97666454
A_23_P44207	0.043470383
A_19_P00326994	0.3203416
A_23_P436526	-0.14894009
A_32_P170749	0.16557121
A_33_P3210488	-1.5513191
A_23_P120002	0.31556034
A_19_P00808961	0
A_23_P123563	-0.23836231
A_24_P940125	-0.78873587
A_19_P00317423	-0.6042032
A_24_P37409	-0.24570799
A_33_P3282836	0.001414299
A_19_P00324030	0.7383132
ERCC-00163_81	-0.24587011
A_23_P5064	-0.3696022
A_33_P3316088	-0.9289446
A_33_P3246995	0.027641296
A_19_P00812107	-0.36534882
A_23_P23356	0.27866936
A_33_P3422659	-0.49186707
ERCC-00162_107	-0.15330791
A_23_P5370	-0.25485992
A_33_P3215383	-0.43404198
A_23_P310483	0.27221107
A_23_P99996	-0.24951696
A_24_P33444	0.10320234
A_23_P105535	0.04642725
A_23_P109774	-0.13156223
A_23_P121196	-0.092095375
A_33_P3219090	-0.4461851
A_23_P18205	-0.17567158
A_19_P00808519	-0.330472
A_23_P11103	-0.31045532
A_23_P58770	0.7836828
A_23_P115467	0.9139595
A_23_P355311	0.68526363
A_24_P218970	-0.15546608
A_23_P92895	0.16544247
A_33_P3249434	-0.11083412
A_19_P00801441	-0.30297565
A_23_P164313	-0.6469841
A_33_P3330443	-0.65101814
A_19_P00319568	0.7324624
A_19_P00811765	0.8006034
A_33_P3302613	-0.5582223
A_33_P3351920	1.330318
A_19_P00800396	-0.37032413
A_19_P00321852	1.1506944
