Reporter Identifier	VALUE
GT_44k_23_P109427	-6.9965544
GT_44k_23_P109436	-1.798667
GT_44k_23_P109442	1.7402325
GT_44k_23_P109446	0.3849802
GT_44k_23_P109452	1.0399389
GT_44k_23_P10947	-0.25036907
GT_44k_23_P109470	-0.23690033
GT_44k_23_P109488	-6.6044035
GT_44k_23_P109508	1.6036425
GT_44k_23_P109547	0.87222004
GT_44k_23_P10956	-4.525137
GT_44k_23_P109593	-0.47227955
GT_44k_23_P109606	-0.23143673
GT_44k_23_P109614	-8.150222
GT_44k_23_P109636	2.4747496
GT_44k_23_P109643	0.29034424
GT_44k_23_P109655	-0.9883127
GT_44k_23_P10966	-8.397283
GT_44k_23_P109677	4.9508257
GT_44k_23_P109682	2.788022
GT_44k_23_P109720	-8.328589
